"categoryName","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","totalScore","location/lat","location/lng","postalCode","reviewsCount","title","address","street"
"Bakery","85","19","14","15","9","4.1","31.5395034","74.3113142","54000","142","Chaudry Bakery","Chaudry Bakery, Tipu Sultan Road, Rasool Park Lahore, Punjab 54000, Pakistan","Chaudry Bakery, Tipu Sultan Road"
"Cafe","6","1","2","0","0","4","31.5334722","74.3100506","54000","9","Des Pardes Cold Corner","245 Jalil Tipu St, Ichhra Rasool Park, Lahore, Punjab 54000, Pakistan","245 Jalil Tipu St"
"Ice cream shop","9","0","2","0","0","4.3","31.5334375","74.3204375","54600","11","King ice cream","G8MC+95F Mohallah Mata Rani, Lahore – Kasur Rd, Ichhra Lahore, Punjab 54600, Pakistan","G8MC+95F Mohallah Mata Rani, Lahore – Kasur Rd"
"Ice cream shop","1","0","0","0","0","5","31.538831","74.3285649","54000","1","Ali Special Lahori Gola علی سپیشل لاہوری گولا","Near Post Office, Shadman Rd, Shadman Colony 1, Shadman, Shadman 1, 1 Shadman Rd, near Post Office, near Shadman Underpass، Shadman 1 Shadman, Lahore, 54000, Pakistan","Near Post Office, Shadman Rd, Shadman Colony 1, Shadman, Shadman 1, 1 Shadman Rd, near Post Office, near Shadman Underpass"
"Bakery","505","159","31","74","22","4.4","31.5647139","74.3438728","54000","791","Sialkot Sweets","86 Allama Iqbal Rd, Muhammad Nagar Garhi Shahu, Lahore, Punjab 54000, Pakistan","86 Allama Iqbal Rd"
"Bakery","3","2","0","0","0","4.6","31.536422","74.3067948","54000","5","Amir Farooq House","House no 114, New, New Samanabad Samanabad Town, Lahore, Punjab 54000, Pakistan","House no 114, New"
"Bakery","1","1","0","0","0","4.5","31.5717258","74.3491894",,"2","M.M food","H8CX+MMW, Railway Colony, Lahore, Punjab, Pakistan","H8CX+MMW"
"Bakery","3","2","0","2","0","4.1","31.5649723","74.3536662","54000","7","Diamond Bakery","47 مغلپورہ روڈ, Mughalpura, Lahore, Punjab 54000, Pakistan","47 مغلپورہ روڈ"
"Bakery","0","1","0","0","0","4","31.5371618","74.3160518","54000","1","Breadway Bakers","Fatima St, Ichhra Lahore, Punjab 54000, Pakistan","Fatima St"
"Cafe","3","1","1","1","0","3.8","31.5301904","74.3221095","54000","6","Paan Shop","گرلڈ مائین سنٹر، 105 Lahore – Kasur Rd, Ichhra Lahore, Punjab 54000, Pakistan","گرلڈ مائین سنٹر، 105 Lahore – Kasur Rd"
"Cafe","2","2","2","2","0","3.3","31.5308262","74.3219241","54000","8","Cafe Zoom","G8JC+8QM, Latif Centre, Ferozpur Rd, Rasheed Park, Ichhra, Ichhra Lahore, Punjab 54000, Pakistan","G8JC+8QM, Latif Centre, Ferozpur Rd, Rasheed Park, Ichhra"
"Bakery","76","33","12","18","5","4.1","31.5632327","74.3458148","54000","144","New Butt Bakers","Allama Iqbal Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan","Allama Iqbal Rd"
"Bakery","3","0","1","0","0","4","31.5360335","74.310189","54000","4","sweet masala Bakery & online cake oder","55/D Imran St, Rasool Park, Lahore, Punjab 54000, Pakistan","55/D Imran St"
"Coffee shop",,,,,,,"31.5691352","74.3607356",,"0","Bbn Corporate","H996+M75, Mughalpura, Lahore, Punjab 54840, Pakistan","H996+M75"
"Bakery","2","0","0","0","0","5","31.5621311","74.3471863","54000","2","Mezbaan bakes","H86W+VVC, Garhi Shahu, Lahore, Punjab 54000, Pakistan","H86W+VVC"
"Coffee shop",,,,,,,"31.5420352","74.303181","54000","0","Tea corner","G8R3+R77, Samanabad Town, Lahore, Punjab 54000, Pakistan","G8R3+R77"
"Ice cream shop","4","1","3","1","1","3.2","31.5630267","74.3460703","54000","10","Craving","78-A, Allama Iqbal Rd, near Siddique fish karner, Garhi Shahu, Lahore, Punjab 54000, Pakistan","78-A, Allama Iqbal Rd, near Siddique fish karner"
"Bakery","3","0","0","2","1","3.8","31.5319267","74.3085086","54000","6","Bakes and Flakes","G8J5+QCC, Samanabad Town, Lahore, Punjab 54000, Pakistan","G8J5+QCC"
"Bakery","140","50","17","34","14","4.1","31.5648125","74.3446875","54000","255","Shezan Bakers & Confectioners","Garhi Shahu, Lahore, Punjab 54000, Pakistan",
"Bakery","67","20","5","13","4","4.3","31.539514","74.3110923","54000","109","Madina Sweets","G8Q6+RC4, Rasool Park Lahore, Punjab 54000, Pakistan","G8Q6+RC4"
"Ice cream shop","13","3","1","3","1","4.2","31.5633043","74.3440214","54000","21","Rahat Ice Cream Garhi Shahu ""Best Ice Cream in Lahore""","103 Allama Iqbal Rd, Muhammad Nagar Garhi Shahu, Lahore, Punjab 54000, Pakistan","103 Allama Iqbal Rd"
"Cafe","13","6","0","2","2","4.3","31.5383124","74.305967","54570","23","Chenab Tikka Centre & Milk Shop","G8Q4+89G, Ghazali Rd, Samanabad, Samanabad Town, Lahore, Punjab 54570, Pakistan","G8Q4+89G, Ghazali Rd, Samanabad"
"Bakery","16","10","3","6","6","3.7","31.5651496","74.3536532",,"41","Atiq Bakars & Sweets","H983+3F2, Mughalpura, Lahore, Punjab, Pakistan","H983+3F2"
"Ice cream shop","3","1","0","0","0","4.8","31.5399433","74.3010955","54000","4","Twister cone ( poonch Road branch)","372 Poonch Rd, Samanabad Town, Lahore, Punjab 54000, Pakistan","372 Poonch Rd"
