"address","rank","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","postalCode","street","reviewsCount","title","location/lat","location/lng","categoryName","price","totalScore"
"305/25 H3, H3, Johar Block H 3 Phase 2 town, Lahore, Punjab 54000, Pakistan","12",,,,,,"54000","305/25 H3, H3","51","Divine Bakers","31.4712489","74.2596851","Bakery",,"4.7"
"9 Beadon Rd, Victoria Park Lahore, Punjab 54000, Pakistan","13",,,,,,"54000","9 Beadon Rd","1330","Bay bakery","31.5641214","74.3219237","Bakery",,"4.5"
"Block R Block G Phase 2 Johar Town, Lahore, Punjab 54782, Pakistan","14",,,,,,"54782",,"3605","Layers Bakeshop - G1, Johar Town","31.4758377","74.2810182","Bakery","$$$","4.5"
"F66V+HR5 Ali Raza Abad, Raiwind Rd, Ali Town Lahore, Punjab 54000, Pakistan","15",,,,,,"54000","F66V+HR5 Ali Raza Abad, Raiwind Rd","2852","Gourmet Foods - Ali Town, Raiwind Road","31.4613913","74.2446228","Bakery",,"4.1"
"434, G1 Market, Johar Town, Lahore, 54782, Pakistan","16",,,,,,"54782","434, G1 Market","308","Baba Bakers & Sweets","31.4722649","74.2780609","Bakery",,"4.3"
"905 Canal Bank Road, Canal Bridge, opp. Bahria Town, Lahore, Pakistan","17",,,,,,,"905 Canal Bank Road, Canal Bridge, opp. Bahria Town","448","Cakes & Bakes","31.3904695","74.1690618","Bakery",,"4.2"
"Bahria, House #47 Gardenia block, C, Town, Lahore, 54000, Pakistan","18",,,,,,"54000","Bahria, House #47 Gardenia block, C","23","Cravings","31.3756538","74.1794675","Cake shop",,"5"
"Nishtar Block Nishter Block Allama Iqbal Town, Lahore, Punjab, Pakistan","19",,,,,,,,"33","Sweetify by Fatima","31.5068288","74.2751042","Bakery",,"5"
"Service Rd, Sector C Commercial Area Sector C Bahria Town, Lahore, Punjab 53720, Pakistan","20",,,,,,"53720","Service Rd","1458","Cakes & Bakes","31.3713429","74.1866571","Bakery","$$","4.2"
"GRQJ+R53, Unnamed Road, Warburton, Nankana Sahib, Punjab, Pakistan","1",,,,,,,"GRQJ+R53, Unnamed Road","5","Gourmet bakers and sweets","31.5395737","73.8303926","Bakery",,"4"
"Ada Feroz wattwan، Faisalabad Road، FEROZ WATTWAN DISTRICT SHEIKHUPURA, Pakistan","8",,,,,,,"Ada Feroz wattwan، Faisalabad Road","59","Bilal Sweets And Bakers","31.5885089","73.8125063","Bakery",,"4.3"
"PRXF+WG3, Lahore - Sargodha Rd, Farooqabad, Sheikhupura, Punjab, Pakistan","9",,,,,,,"PRXF+WG3, Lahore - Sargodha Rd","7","Wali Sweets & Bakers","31.7497601","73.8238008","Bakery",,"4.1"
