"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","title","location/lat","location/lng","categoryName","price","postalCode","address","reviewsCount","street","totalScore"
,,,,,"Big Be Hot Pizza & Fast Food","31.5698375","74.3857192","Pizza restaurant",,"54000","Usman milk sohp، Main Bazar, Ramgarh, Lahore, 54000, Pakistan","79","Usman milk sohp، Main Bazar","4.3"
,,,,,"MOD PIZZA Shad Bagh, Lahore","31.5946358","74.3391978","Pizza restaurant",,,"H8VQ+VPJ, Shadbagh Rd, Shad Bagh, Lahore, Punjab, Pakistan","1","H8VQ+VPJ, Shadbagh Rd","5"
,,,,,"Pizza Trend","31.5850287","74.4216042","Pizza restaurant",,,"HCPC+2J9, Street No. 1, near Kareem nagar, Sharif Garden, Lahore, Punjab, Pakistan","6","HCPC+2J9, Street No. 1, near Kareem nagar","5"
,,,,,"Pizza Max - Shalimar","31.5787588","74.3810956","Pizza restaurant","$$","54000","Shalimar Link Road, Singhpura, Lahore, Punjab 54000, Pakistan","924","Shalimar Link Road","4.2"
,,,,,"Pizza Online Shalamar","31.5863958","74.395271","Restaurant",,"54072","313 Gt Road, Service Rd, near Pakistan Mint, Daroghawala, Lahore, 54072, Pakistan","495","313 Gt Road, Service Rd, near Pakistan Mint","4.6"
,,,,,"Pizza Viza","31.5870176","74.3367398","Pizza restaurant",,"54950","Neelam Cinema, 102 Aziz Road, opposite Gourmet Bakery, Wassan Pura Misri Shah, Lahore, Punjab 54950, Pakistan","1","Neelam Cinema, 102 Aziz Road, opposite Gourmet Bakery","5"
,,,,,"Broadway Pizza - Valencia Town","31.4087299","74.2603858","Pizza restaurant","$$","54782","15-D Commercial Zone, Valencia, Lahore, 54782, Pakistan","999","15-D Commercial Zone","4.5"
,,,,,"Italian pizza & Fast Food..","31.394631","74.2560596","Pizza restaurant",,,"97V4+VC3, Block K1 Block K 1 Valencia, Lahore, Punjab, Pakistan","34","97V4+VC3","3.2"
,,,,,"Domino's Pizza | Valencia Town Lahore","31.4083406","74.2597495","Pizza restaurant","$$",,"Raja associates, Valencia Main Blvd, D Block Block B Valencia, Lahore, Punjab, Pakistan","1412","Raja associates, Valencia Main Blvd","3.9"
,,,,,"New Pizza King","31.4391791","74.3033599","Pizza restaurant",,"54000","205 2c2, Block 3 Twp Sector C 2 Green Town, Lahore, Punjab 54000, Pakistan","50","205 2c2","3.7"
,,,,,"Chick-N-Pizza","31.401769","74.2686687","Pizza restaurant",,,"near UET Round About، Commercial Zone Block E Audit and Accounts Housing Society, Lahore, Punjab, Pakistan","141","near UET Round About","4.2"
,,,,,"Fine Pizza Family Restaurant","31.4323763","74.2889172","Pizza restaurant","$$",,"95, Block B PCSIR Staff Colony, Lahore, Punjab, Pakistan","1418","95","4"
,,,,,"Pizza Junction - Valencia Town","31.4093222","74.2599556","Pizza restaurant","$$",,"D Block Block D Valencia, Lahore, Punjab, Pakistan","491",,"4.2"
,,,,,"Mega Bite Pizza","31.4197144","74.2813543","Pizza restaurant",,"54770","19 MB military Account, College Road, near Missile Chowk, Lahore, 54770, Pakistan","141","19 MB military Account, College Road, near Missile Chowk","4.6"
,,,,,"London Melt","31.4248032","74.2653003","Pizza restaurant",,,"11 j2 Abbaseen Ave, WAPDA Town Block J 2 Wapda Town Phase 1 Lahore, Punjab, Pakistan","506","11 j2 Abbaseen Ave","4.1"
,,,,,"Papa Johns Pizza","31.408213","74.2598762","Pizza restaurant","$$","54000","COMMERCIAL MARKET, 6-D Block D Valencia, Lahore, Punjab 54000, Pakistan","1037","COMMERCIAL MARKET","4.2"
,,,,,"DomiNick’s Pizza","31.4037086","74.2685741","Pizza restaurant",,"54770","Plot 41A, Block A U.E.T. Housing Society, Lahore, Punjab 54770, Pakistan","7","Plot 41A","5"
,,,,,"Pizza Guy","31.4434398","74.2912234","Pizza restaurant",,"54600","Allah Baksh Rd, Mateen Avenue, Lahore, Punjab 54600, Pakistan","148","Allah Baksh Rd","4.8"
,,,,,"Pizza Pro Max","31.3903292","74.2633214","Pizza restaurant",,,"Block P Dha Rahbar Phase 2 Dha Rahbar, Lahore, Punjab, Pakistan","9",,"4"
,,,,,"Mojooz","31.4146944","74.2519999","Pizza restaurant",,,"C772+VQH, Block A3 Block A 3 Valencia, Lahore, Punjab, Pakistan","25","C772+VQH","5"
,,,,,"Subs and Pizza","31.4432826","74.2768723","Pizza restaurant",,"54770","C7VG+8P9 PIA, Main Boulevard, Block F Pia Housing Scheme, Lahore, Punjab 54770, Pakistan","5","C7VG+8P9 PIA, Main Boulevard","3.8"
,,,,,"The Crust Pizza","31.4450625","74.2795625","Pizza restaurant",,"54770","Block D Pia Housing Scheme, Lahore, Punjab 54770, Pakistan","593",,"4.7"
,,,,,"Broadway Pizza - Johar Town","31.4498032","74.2691526","Pizza restaurant","$$",,"Shahrah Nazaria-e-Pakistan،, Commercial Area Phase 2 Johar Town, Lahore, Punjab, Pakistan","10289","Shahrah Nazaria-e-Pakistan،","4.6"
,,,,,"California Pizza Johar Town","31.4501704","74.2698925","Pizza restaurant","$$","54782","California Pizza 55-Gcp Society, block R, near Shoukat Khanum, Block R 1 Phase 2 Johar Town, Lahore, Punjab 54782, Pakistan","1780","California Pizza 55-Gcp Society, block R, near Shoukat Khanum","4"
,,,,,"Pizza74","31.4453477","74.2868743","Pizza restaurant",,,"Block A3 Block A 3 PGECHS, Lahore, Punjab 54770, Pakistan","125",,"4.8"
,,,,,"Broadway Burger and Pizza","31.4140137","74.2196951","Pizza restaurant",,,"C679+JV4, Block B Sher Shah Colony, Lahore, Punjab, Pakistan","11","C679+JV4","2.1"
"11","5","2","1","0","Pizza Spot","31.3907826","74.2082493","Pizza restaurant",,,"11, Block H Dream Gardens Housing Society, Lahore, Punjab, Pakistan","19","11","4.2"
"9","0","0","0","0","Pizza Inn","31.4161872","74.2606282","Restaurant","$$",,"Plot C, 28, Block A1 Block A 1 Valencia, Lahore, Punjab, Pakistan","9","Plot C, 28","5"
