"categoryName","location/lat","location/lng","totalScore","address","postalCode","title","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price"
"Medical Center","31.5680844","74.2918484",,"106 Abdali Rd, St Nagar, Lahore, Punjab 54000, Pakistan","54000","Servaid","0",,,,,,,"106 Abdali Rd",
"Medical Center","31.5789124","74.3133137","5","Khucha haji ilahi bakash d-93 Inside lohari gate Lahore, Nearer to Haji nehari wala, Heera snooker club building First floor Andron, gate, Lahore, 54000, Pakistan","54000","Shamim Hijama Center","19",,"19","0","0","0","0","Khucha haji ilahi bakash d-93 Inside lohari gate Lahore, Nearer to Haji nehari wala, Heera snooker club building First floor Andron",
"Hospital","31.61249","74.317602",,"J869+X2X amir chishti, Jamia Masjid St, Lahore, Punjab, Pakistan",,"Jamia masjid amir chishti","0",,,,,,,"J869+X2X amir chishti, Jamia Masjid St",
"Hospital","31.5787367","74.3019277",,"H8H2+FQV, Jilani Rd, Bilal Ganj Data Gunj Buksh Town, Lahore, Punjab 54000, Pakistan","54000","Dawakhana Al- Madina Tibbi Foundation","0",,,,,,,"H8H2+FQV, Jilani Rd",
"Hospital","31.5999916","74.3008406",,"H8X2+X8W, Timber Market Lahore, Punjab, Pakistan",,"Al siraj trust","0",,,,,,,"H8X2+X8W",
"Hospital","31.560626","74.2921161",,"H76R+7R5, Unnamed Road, National Town Lahore, Punjab 54000, Pakistan","54000","Khan homeopathic Clinic","0",,,,,,,"H76R+7R5, Unnamed Road",
"Hospital","31.5622336","74.2821965","3","H76J+VVW, Road, Sanda Lahore, Punjab 54000, Pakistan","54000","ILAAP Clinic","2",,"1","0","1","0","0","H76J+VVW, Road",
"Government hospital","31.5777329","74.3030891","3.9","Baba Farid Rd, Data Gunj Buksh Town, Lahore, Punjab 54000, Pakistan","54000","Jaffery Optical Center","60",,"33","8","10","9","0","Baba Farid Rd",
"Hospital","31.5707637","74.3172998",,"Special Clinic, OPD Room, 6 Mayo Hospital Rd, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","Special Clinic","0",,,,,,,"Special Clinic, OPD Room, 6 Mayo Hospital Rd",
"Hospital","31.5702209","74.3002886",,"H8C2+34M, Dev Samaj Road, Sant Nagar St Nagar, Lahore, Punjab 54000, Pakistan","54000","Government Dispensery EPI CENTER","0",,,,,,,"H8C2+34M, Dev Samaj Road",
"Hospital","31.603345","74.3184616","1","J839+89P, Badami Bagh, Lahore, Punjab, Pakistan",,"Al Zabayda Lab","1",,"0","0","1","0","0","J839+89P",
"Hospital","31.6006886","74.3142147",,"J827+7MG, Sadiq Pura Badami Bagh, Lahore, Punjab, Pakistan",,"Zacha Bacha Center","0",,,,,,,"J827+7MG",
"Hospital","31.5836148","74.2926402",,"H7MV+C3R, Street No. 2, Khokhar Town, Lahore, Punjab, Pakistan",,"Al rehman clinic","0",,,,,,,"H7MV+C3R, Street No. 2",
"Hospital","31.6144114","74.2689914","2.7","Yousaf Park stop, Lahore - Sheikhupura - Faisalabad Rd, Taragarh Shahdara Town, Shahdara, Lahore, Punjab 54000, Pakistan","54000","Irshad Memorial Clinic","3",,"1","0","1","0","1","Yousaf Park stop, Lahore - Sheikhupura - Faisalabad Rd",
"Hospital","31.5693081","74.3180376",,"H899+P6F, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","Mayo Hospital Gate No 3 (Urology Deptt)","0",,,,,,,"H899+P6F",
"Medical Center","31.5715109","74.313528",,"H8C7+JC2, Dhani Ram Rd, New Anarkali Road, Civil Lines, Lahore, Punjab 54030, Pakistan","54030","Shahid Medical Store","0",,,,,,,"H8C7+JC2, Dhani Ram Rd, New Anarkali Road",
"Hospital","31.5632863","74.2824457","5","Sanda Khurd Lahore, Punjab 54000, Pakistan","54000","Ali Children and Consultant Polyclinic","1",,"1","0","0","0","0",,
"Medical Center","31.5867784","74.309415","3","H8P5+PQ7, Fort Rd, Shahi Mohallah Walled City of Lahore, Lahore, Punjab, Pakistan",,"Anam Clinic","1",,"0","0","0","1","0","H8P5+PQ7, Fort Rd",
"Hospital","31.5776177","74.3021347","5","H8H2+2VR, Data Darbar Rd, Data Gunj Buksh Town, Lahore, Punjab 54000, Pakistan",,"Govt Data Darbar General & Eye Hospital","3",,"3","0","0","0","0","H8H2+2VR, Data Darbar Rd",
"Hospital","31.5735348","74.3221919",,"Railway Rd, Gawalmandi, Lahore, Punjab 54030, Pakistan","54030","Ali Hamza Medical Centre","0",,,,,,,"Railway Rd",
"Hospital","31.5732457","74.3136598",,"H8F7+7FV, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","Biomedical Engineering Department Mayo hospital","0",,,,,,,"H8F7+7FV",
"Hospital","31.6139943","74.2654567",,"J778+H5W, Jaranwala Rd, Chattha Colony, Begum Kot, Lahore, Punjab, Shahdara Town, Shahdara, Lahore, Punjab, Pakistan",,"Crimson Hospital","0",,,,,,,"J778+H5W, Jaranwala Rd, Chattha Colony, Begum Kot, Lahore, Punjab",
"Medical Center","31.5890481","74.2996702",,"H7QX+JV7, Karim Park Lahore, Punjab, Pakistan",,"Zia Clinic And Maternity Home","0",,,,,,,"H7QX+JV7",
"Hospital","31.573793","74.3221936",,"11 Railway Rd, Gawalmandi, Lahore, Punjab 54000, Pakistan","54000","Munawar Hospital","0",,,,,,,"11 Railway Rd",
"Medical Center","31.5732945","74.2926246",,"H7FV+829, St Nagar, Lahore, Punjab 54000, Pakistan","54000","Shah Abdul Latif Faree Clinic","0",,,,,,,"H7FV+829",
"Hospital","31.5656315","74.2943657",,"H78V+7P5, Umar Rd, Krishan Nagar Islampura, Lahore, Punjab 54000, Pakistan","54000","Al Rahman Hospital الرحمن ہسپتال","0",,,,,,,"H78V+7P5, Umar Rd",
"Medical Center","31.5837733","74.3146513","5","Walled City of Lahore, Lahore, Punjab, Pakistan",,"Waqar Clinic","4",,"4","0","0","0","0",,
"Hospital","31.6021351","74.3034714","3","J823+V95, Road, Timber Market, Lahore, Punjab, Pakistan",,"Al Habib Hospital","1",,"0","0","0","1","0","J823+V95, Road",
"Hospital","31.5720833","74.3146944",,"1st floor, Clock Tower Building, Gharri Ward, Mayo Hospital Rd, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","Cardiac Surgery, Mayo Hospital","0",,,,,,,"1st floor, Clock Tower Building, Gharri Ward, Mayo Hospital Rd",
"Children's hospital","31.6130908","74.2635486","5","J777+6CM, Lahore-Jaranwala Rd, Begum Kot Shahdara Town, Shahdara, Lahore, Punjab 54000, Pakistan","54000","Azeem Children Complex","8",,"8","0","0","0","0","J777+6CM, Lahore-Jaranwala Rd",
"Medical Center","31.5632134","74.3005003","4.7","H872+76J, Alamgir Rd, Islampura, Lahore, Punjab 54000, Pakistan","54000","Zahida Musharraf Clinic","11",,"8","3","0","0","0","H872+76J, Alamgir Rd",
"Hospital","31.5634624","74.2779723",,"Unnamed Road, Lahore, Punjab, 54000, Pakistan","54000","Bilal Medical And General Store","0",,,,,,,"Unnamed Road, Lahore, Punjab",
"Medical Center","31.5674729","74.2903984","5","Sanda Islampura, Lahore, Punjab 54000, Pakistan",,"Bushra Clinic","3",,"3","0","0","0","0",,
"Hospital","31.6097829","74.3051405",,"J854+W36, Lahore Ring Rd, Sadaat Colony, Lahore, Punjab, Pakistan",,"Muhammadi Hospital","0",,,,,,,"J854+W36, Lahore Ring Rd",
"Medical Center","31.5727564","74.2963649","5","Sant Nagar St Nagar, Lahore, Punjab 54000, Pakistan",,"Mumtaz Clinic","1",,"1","0","0","0","0",,
"Hospital","31.6156899","74.2724473","5","North Ravi Hospital, Lahore - Sheikhupura - Faisalabad Rd, opposite Rustam suhrab factory, Shahdara Town, Lahore, Punjab 54000, Pakistan","54000","Dr.Abdul Rehman physician and surgeon M.B.B.S,R.M.P","1",,"1","0","0","0","0","North Ravi Hospital, Lahore - Sheikhupura - Faisalabad Rd, opposite Rustam suhrab factory",
"Hospital","31.5615974","74.2998771","4.8","11-A Sanda Rd, near MAO College, Prem Nagar Islampura, Lahore, Punjab 54000, Pakistan","54000","National Eye Center Sanda Road","734",,"677","21","24","9","3","11-A Sanda Rd, near MAO College",
"Hospital","31.5985759","74.3160145","4.1","H8X8+CCJ, Data Nagar Badami Bagh, Lahore, Punjab, Pakistan",,"Dr.Rafee Clinic","26",,"15","5","3","2","1","H8X8+CCJ",
"Hospital","31.5696768","74.3175577","1","Room no, Special Clinic, 6,,OPD, Mayo Hospital Rd, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","Outdoor Building Mayo Hospital","1",,"0","0","1","0","0","Room no, Special Clinic, 6,,OPD, Mayo Hospital Rd",
"Medical Center","31.5618935","74.3045337","3.6","H863+QR3, Lower Mall, Rewaz Garden Rewaz Gardens, Lahore, Punjab 54000, Pakistan","54000","United Muslim clinic","5",,"2","1","1","1","0","H863+QR3, Lower Mall",
"Medical Center","31.5609318","74.2748741","4.5","H76F+9WH Mosque, Street, Lahore, Punjab 54000, Pakistan","54000","Abid pharmacy and General store","2",,"1","1","0","0","0","H76F+9WH Mosque, Street",
"Medical Center","31.5863873","74.3106887",,"H8P6+H74, Shahi Mohallah Walled City of Lahore, Lahore, Punjab 54000, Pakistan","54000","Khan Medical Center","0",,,,,,,"H8P6+H74",
"Medical Center","31.562856","74.2934646","5","16-A/4 Sanda Rd, Ghaziabad Islampura, Lahore, Punjab 54000, Pakistan","54000","Zahida Memorial Medical Centre","1",,"1","0","0","0","0","16-A/4 Sanda Rd",
