"title","location/lat","location/lng","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","address","price","rank","categoryName","totalScore","postalCode","reviewsCount","street"
"Rizwan Shop","31.7950823","74.2536874","13","2","5","1","0","Q7W3+2FM, Sarab Muridke, Sheikhupura, Punjab, Pakistan",,"37","Supermarket","3.9",,"21","Q7W3+2FM"
"Madina storeمدینہ سٹور","31.5801958","74.3121826","1","0","0","0","0","Chapra Gali, Mohalla Sathan Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"89","Supermarket","5","54000","1","Chapra Gali"
"Bilal Brothers Iron Merchent","31.5778715","74.3286506","2","2","0","0","0","40 Al-Hadeed Bazar, Jogi Mohalla Naulakha, Lahore, Punjab 54000, Pakistan",,"90","Supermarket","4.5","54000","4","40 Al-Hadeed Bazar"
"Wali Departmental Store","30.9465027","74.2762438","11","4","2","2","0","W7WG+JF5, Dholan Hithar, Kasur, Punjab, Pakistan",,"24","Supermarket","4.2",,"19","W7WG+JF5"
"Punjab Ehsaas Rahan Riyaet Program","30.949076","74.2736848",,,,,,"W7XF+JFM Humayun Public School, Dholan Hithar, Kasur, Punjab, Pakistan",,"25","Grocery store",,,"0","W7XF+JFM Humayun Public School"
"Ahmad rice trader","31.608001","74.3367928","3","0","0","1","0","Shad Bagh, Lahore, Punjab, Pakistan",,"91","Supermarket","4.5",,"4",
"Old Masjid Road Wassanpura","31.5901795","74.3383151","2","3","0","0","0","H8RQ+38G, old masjid Road, Wassan Pura Chah Miran, Lahore, Punjab, Pakistan",,"92","Supermarket","4.4",,"5","H8RQ+38G, old masjid Road"
"Ahsan super store Lahore","31.5940376","74.3695568","1","0","0","1","0","H9V9+JR7, Gujjarpura, Lahore, Punjab 54000, Pakistan",,"93","Supermarket","4","54000","2","H9V9+JR7"
"آئی ڈی کمپیوٹر اینڈ نیٹ ورک سلوشنز","31.5790755","74.2974813","2","0","0","0","0","H7HW+JXQ, مین بازار, ملک پارک Data Gunj Buksh Town, Lahore, Punjab 54000, Pakistan",,"94","Supermarket","5","54000","2","H7HW+JXQ, مین بازار"
"Ismail sons cash & carry","30.9838731","74.2763302",,,,,,"X7MG+GGW, Depalpur - Kasur Rd, Khudian Khas, Kasur, Punjab, Pakistan",,"29","Grocery store",,,"0","X7MG+GGW, Depalpur - Kasur Rd"
"Sk Fresh & Frozen Foods","30.9824773","74.2876374",,,,,,"X7JQ+X3R, Khudian Khas, Kasur, Punjab, Pakistan",,"37","Organic food store",,,"0","X7JQ+X3R"
"Ghalla Mandi","30.9884387","74.2796997","123","24","22","26","16","X7QH+9VG, Khudian Khas, Kasur, Punjab, Pakistan",,"39","Produce market","4",,"211","X7QH+9VG"
"Karachi Sweets And Bakers","30.9845792","74.2778498","5","0","0","0","1","old bus stop, Khudian Khas, Kasur, Punjab, Pakistan",,"40","Supermarket","4.5",,"6","old bus stop"
"Molvi karyana store","31.1296243","74.2509932","1","0","0","0","0","47H2+R9X, Sidhupura, Kasur, Punjab, Pakistan",,"31","Asian grocery store","5",,"1","47H2+R9X"
"AL SYED TRADERS","31.579788","74.3233242",,,,,,"728 nuriyan Tung Bazar, Mohalla Chauhattan Akbari Mandi Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"95","Supermarket",,"54000","0","728 nuriyan Tung Bazar"
"Qadri super store","31.8178227","74.2665334",,,,,,"R798+4JF, Shahzad Town Shehzad Town, Muridke, Sheikhupura, Punjab, Pakistan",,"42","Grocery store",,,"0","R798+4JF"
"sheikh Ashraf","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"43","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"riaz super store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"44","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"Muhammad Azeem Chorahi General Store G,T, Road Muridke","31.8116378","74.2532553",,,,,,"R763+M82, قومی شاہراہ, ۔ ۵ Rehmanpura, Muridke, Sheikhupura, Punjab, Pakistan",,"45","Grocery store",,,"0","R763+M82, قومی شاہراہ"
"AWAN GENERAL STORE","31.814111","74.2657284",,,,,,"Zafar Chatha Rd, Zafar Colony Muridke, Sheikhupura, Punjab, Pakistan",,"46","Grocery store",,,"0","Zafar Chatha Rd"
"Sheikh Masala Jaat","31.5656065","74.3707294","5","2","0","1","0","H98C+67X, Road, Mughalpura, Lahore, Punjab 54840, Pakistan",,"96","Supermarket","4.5","54840","8","H98C+67X, Road"
"Zee Grocery Store","31.7979751","74.2632325",,,,,,"near Jamia Masjid Gulzar e Madina, Bhutta Colony Mohalla Iqbal Park, Muridke, Sheikhupura, Punjab, Pakistan",,"47","Grocery store",,,"0","near Jamia Masjid Gulzar e Madina"
"Iview services (Shalimar Region)","31.5904634","74.3786731","0","0","0","1","0","175 Gillani Street Madina Colony baghbanpura, baghbanpura, Shalamar Town, Lahore, 54000, Pakistan",,"97","Supermarket","3","54000","1","175 Gillani Street Madina Colony baghbanpura, baghbanpura"
"حقہ پان شاپ","31.7949225","74.2557928","0","1","0","0","0","Q7V4+X87, TMA Bazar Rd, Mohalla Nizam Park, Muridke, Sheikhupura, Punjab, Pakistan",,"48","Grocery store","4",,"1","Q7V4+X87, TMA Bazar Rd"
"Hassan store","31.5634742","74.352437","0","1","0","0","0","H972+9XM, Garhi Shahu, Lahore, Punjab 54000, Pakistan",,"98","Supermarket","4","54000","1","H972+9XM"
"Al Madinah Super Store Muridke","31.8010077","74.2508452","7","0","1","4","2","R722+C85, Main G.t Road, Service Bazar, near Water Tank, Mohalla Faiz e Madina, Muridke, Sheikhupura, Punjab, Pakistan",,"49","Grocery store","3.7",,"14","R722+C85, Main G.t Road, Service Bazar, near Water Tank"
"Arslan Karyana Shop","31.8103179","74.2409116",,,,,,"R66R+49F, Muridke - Sheikhupura Rd, Sheikhupura, Punjab, Pakistan",,"50","Grocery store",,,"0","R66R+49F, Muridke - Sheikhupura Rd"
"Subhan atta chakki shad bagh","31.600496","74.3419528","1","0","1","2","0","J82R+5QW, Hazrat Abu Bakar Sadique Rd, Shad Bagh, Lahore, Punjab, Pakistan",,"99","Supermarket","3",,"4","J82R+5QW, Hazrat Abu Bakar Sadique Rd"
