"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","location/lat","location/lng","totalScore","street","price","address","postalCode","title","reviewsCount"
,,,,,"School","30.9335942","74.3454098",,"W8MW+C5M",,"W8MW+C5M, Jodh Singhwala, Kasur, Punjab, Pakistan",,"Sutluj Model school","0"
,,,,,"Elementary school","30.9567312","74.1665845","5","X548+MJW",,"X548+MJW, Saidpur, Kasur, Punjab, Pakistan",,"گورنمنٹ پر ائمری اسکول بوائز","1"
,,,,,"School","30.9326831","74.1859112","5","W5MP+39F",,"W5MP+39F, Baher Sodhian, Kasur, Punjab, Pakistan",,"The Nation Grammar School","1"
,,,,,"Middle school","30.973104","74.1811649","5","X5FJ+6FV",,"X5FJ+6FV, Rajwal Kuhna, Kasur, Punjab, Pakistan",,"Govt Girls Elementary School","1"
,,,,,"School","30.9799119","74.0868955","5","X3HP+XQ6",,"X3HP+XQ6, Chunian, Kasur, Punjab, Pakistan",,"Govt primary school","1"
,,,,,"Middle school","31.7745339","73.3341992","5","Q8FM+RM8, Unnamed Road",,"Q8FM+RM8, Unnamed Road, Hanjli, Nankana Sahib, Punjab, Pakistan",,"Govt Girls elementary school","2"
,,,,,"School","30.876398","74.057737","5","V3G5+J62, Ghallah Mandi Rd",,"V3G5+J62, Ghallah Mandi Rd, Allah Abad, Kasur, Punjab, Pakistan",,"Islamia Public High School","5"
,,,,,"Elementary school","31.7655534","73.3149473","4.3","Q887+6XG",,"Q887+6XG, Dugree, Nankana Sahib, Punjab, Pakistan",,"Govt. Primary School","3"
,,,,,"School","30.9742019","74.1138534","3.5",,,"Bheemkay, Chunian, Kasur, Punjab 55220, Pakistan","55220","Asif Masood Higher Secondary School Bheemkay","2"
,,,,,"Elementary school","31.7721938","73.3356071","5","Q8CP+V6H, Road",,"Q8CP+V6H, Road, Hanjli, Nankana Sahib, Punjab, Pakistan",,"Govt boy’s primary school","2"
,,,,,"Primary school","30.9367326","74.1386296","4","W4PQ+MFR",,"W4PQ+MFR, Burj Ran Sigh, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","2"
,,,,,"Education center","30.9315078","74.116524","5","W4J8+JJ2, Road",,"W4J8+JJ2, Road, Atari Karam Singh, Kasur, Punjab, Pakistan",,"Al Tanzeel Public High School Attari Karam Singh","1"
