"title","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price","categoryName","location/lat","location/lng","totalScore","postalCode","address"
"Al kuat hair salon","0",,,,,,"P2R4+C23, Kot Ranjeet",,"Hair salon","31.7410135","74.0050596",,,"P2R4+C23, Kot Ranjeet, Sheikhupura, Punjab, Pakistan"
"Shine Beauty Salon","0",,,,,,"Plot C 14",,"Beauty salon","31.502727","74.2541274",,,"Plot C 14, Maraghzar Colony Block M Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"B.z Finger saloon","2","2","0","0","0","0","G63X+QMP",,"Beauty salon","31.5044724","74.2492163","5",,"G63X+QMP, Maraghzar Colony Block E Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Akram Hairdresser & Beauty Parlour","3","1","1","1","0","0","G5R6+6XH, Jaranwala, Sharaqpur - Purani Bhaini Rd",,"Hairdresser","31.5405594","74.1624904","3.3","39460","G5R6+6XH, Jaranwala, Sharaqpur - Purani Bhaini Rd, Dhamkay, Sharaqpur, Sheikhupura, Punjab 39460, Pakistan"
"shahzaib beauty salon","1",,,,,,"PGXJ+HMR",,"Beauty salon","31.7489907","73.5316452","5",,"PGXJ+HMR, Ramgarh, Nankana Sahib, Punjab, Pakistan"
"Waniya's Beauty Salon","0",,,,,,"G733+2R4",,"Beauty salon","31.5025163","74.2545828",,,"G733+2R4, Maraghzar Colony Block M Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Zaid Sultan Hair Salon","3",,,,,,"MGWF+724",,"Hair salon","31.6956449","73.5225679","5",,"MGWF+724, Meli Burji, Nankana Sahib, Punjab, Pakistan"
"Haideri Hair Salon","1",,,,,,"PHMH+79P, Khanqah Dogran Rd",,"Hair salon","31.7332023","73.5784575","5",,"PHMH+79P, Khanqah Dogran Rd, Saeed Nagar Safdarabad, Nankana Sahib, Punjab, Pakistan"
"Beauty lab salon","0",,,,,,"G7P3+34R",,"Beauty salon","31.5352271","74.2527696",,"54000","G7P3+34R, Kot Kamboh, Lahore, Punjab 54000, Pakistan"
"Prince Iqbal Salon","3","0","0","2","1","0","G66X+2QV, Lalazar Rd",,"Beauty salon","31.5096793","74.2498698","1.7",,"G66X+2QV, Lalazar Rd, Shadiwal, Lahore, Punjab, Pakistan"
